STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/15/1941,0,,,,81,59
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/16/1941,0,,,,81,58
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/17/1941,0,,,,82,55
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/18/1941,0,,,,85,59
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/19/1941,0,,,,92,62
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/20/1941,0,,,,94,66
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/21/1941,0,,,,97,62
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/22/1941,0,,,,89,64
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/23/1941,0,,,,82,56
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/24/1941,0.19,,,,81,52
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/25/1941,0,,,,72,40
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/26/1941,0,,,,94,56
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/27/1941,0,,,,99,67
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/28/1941,0.52,,,,95,67
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/29/1941,0.62,,,,81,61
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",6/30/1941,0,,,,90,58
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/1/1941,0.2,,,,95,74
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/2/1941,0,,,,89,54
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/3/1941,0,,,,76,49
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/4/1941,0,,,,79,55
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/5/1941,0,,,,89,52
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/6/1941,0,,,,90,63
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/7/1941,0.45,,,,84,66
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/8/1941,0.64,,,,85,63
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/9/1941,0.01,,,,74,60
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/10/1941,0,,,,87,60
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/11/1941,0.45,,,,87,66
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/12/1941,0.18,,,,74,62
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/13/1941,0.05,,,,78,55
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/14/1941,0,,,,84,53
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/15/1941,0,,,,87,57
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/16/1941,0,,,,85,57
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/17/1941,0.04,,,,80,57
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/18/1941,0,,,,82,52
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/19/1941,0.3,,,,83,59
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/20/1941,0,,,,78,58
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/21/1941,0,,,,84,60
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/22/1941,0,,,,82,65
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/23/1941,0,,,,92,61
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/24/1941,0,,,,96,64
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/25/1941,2.31,,,,93,67
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/26/1941,0,,,,82,60
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",7/27/1941,0.32,,,,74,58
