"game_date","season","game_type","season_game","team","opponent","location","personal_foul","points","game_score","result","score_diff"
2018-11-07,"2018/19","Reg Season",11,"LAL","MIN","Home",1,30,20.9,"Win",4
2018-11-10,"2018/19","Reg Season",12,"LAL","SAC","Away",2,31,17.1,"Win",15
2018-11-11,"2018/19","Reg Season",13,"LAL","ATL","Home",1,32,18.1,"Win",1
2018-11-14,"2018/19","Reg Season",14,"LAL","POR","Home",0,54,44.3,"Win",9
2018-11-17,"2018/19","Reg Season",15,"LAL","ORL","Away",0,28,15.3,"Loss",-13
2018-11-18,"2018/19","Reg Season",16,"LAL","MIA","Away",3,63,40.1,"Win",16
2018-11-21,"2018/19","Reg Season",17,"LAL","CLE","Away",3,36,26.2,"Win",4
2018-11-23,"2018/19","Reg Season",18,"LAL","UTA","Home",1,26,18.1,"Win",7
2018-11-25,"2018/19","Reg Season",19,"LAL","ORL","Home",4,28,14.6,"Loss",-4
2018-11-27,"2018/19","Reg Season",20,"LAL","DEN","Away",0,14,7.6,"Loss",-32
2018-11-29,"2018/19","Reg Season",21,"LAL","IND","Home",2,42,28.7,"Win",8
2018-11-30,"2018/19","Reg Season",22,"LAL","DAL","Home",3,32,17.9,"Win",11
2018-12-02,"2018/19","Reg Season",23,"LAL","PHO","Home",0,24,16.4,"Win",24
2018-12-05,"2018/19","Reg Season",24,"LAL","SAS","Home",1,48,34.9,"Win",8
2018-12-07,"2018/19","Reg Season",25,"LAL","SAS","Away",4,41,29.7,"Loss",-13
2018-12-08,"2018/19","Reg Season",26,"LAL","MEM","Away",2,20,15.9,"Win",23
2018-12-10,"2018/19","Reg Season",27,"LAL","MIA","Home",0,36,27.2,"Win",3
2018-12-13,"2018/19","Reg Season",28,"LAL","HOU","Away",1,35,22.5,"Loss",-15
2018-12-15,"2018/19","Reg Season",29,"LAL","CHO","Away",0,28,24.4,"Win",28
2018-12-16,"2018/19","Reg Season",30,"LAL","WAS","Away",0,13,3.2,"Loss",-18
2018-12-18,"2018/19","Reg Season",31,"LAL","BRK","Away",1,40,29.3,"Loss",-5
2018-12-21,"2018/19","Reg Season",32,"LAL","NOP","Home",3,22,23,"Win",8
2018-12-23,"2018/19","Reg Season",33,"LAL","MEM","Home",0,26,22.6,"Loss",-8
2018-12-25,"2018/19","Reg Season",34,"LAL","GSW","Away",1,17,17.3,"Win",26
2019-01-31,"2018/19","Reg Season",35,"LAL","LAC","Away",0,26,19.3,"Win",3
2019-02-05,"2018/19","Reg Season",36,"LAL","IND","Away",1,22,15,"Loss",-42
2019-02-07,"2018/19","Reg Season",37,"LAL","BOS","Away",4,38,27.3,"Win",1
2019-02-10,"2018/19","Reg Season",38,"LAL","PHI","Away",3,22,14.1,"Loss",-23
2019-02-12,"2018/19","Reg Season",39,"LAL","ATL","Away",3,34,32.2,"Loss",-4
2019-02-21,"2018/19","Reg Season",40,"LAL","HOU","Home",1,29,22.8,"Win",5
2019-02-23,"2018/19","Reg Season",41,"LAL","NOP","Away",0,33,29.1,"Loss",-13
2019-02-25,"2018/19","Reg Season",42,"LAL","MEM","Away",3,24,19.6,"Loss",-5
2019-02-27,"2018/19","Reg Season",43,"LAL","NOP","Home",2,41,28.5,"Win",6
2019-03-01,"2018/19","Reg Season",44,"LAL","MIL","Home",2,37,28,"Loss",-11
2019-03-02,"2018/19","Reg Season",45,"LAL","PHO","Away",2,35,24.8,"Loss",-9
2019-03-04,"2018/19","Reg Season",46,"LAL","LAC","Home",3,29,21.5,"Loss",-8
2019-03-06,"2018/19","Reg Season",47,"LAL","DEN","Home",4,35,21.9,"Loss",-16
2019-03-09,"2018/19","Reg Season",48,"LAL","BOS","Home",0,32,26.7,"Loss",-13
2019-03-12,"2018/19","Reg Season",49,"LAL","CHI","Away",2,40,27.9,"Win",16
2019-03-14,"2018/19","Reg Season",50,"LAL","TOR","Away",2,31,18.1,"Loss",-13
2019-03-17,"2018/19","Reg Season",51,"LAL","NYK","Away",2,33,24.5,"Loss",-1
2019-03-22,"2018/19","Reg Season",52,"LAL","BRK","Home",3,27,15.3,"Loss",-5
