"name","gender","country","sport","birth_date","height","weight","age"
"ZOGHLAMI Osama","Male","Italy","Athletics",1994-06-19,178,0,30
"FOLORUNSO Ayomide","Female","Italy","Athletics",1996-10-17,165,0,27
"MURARO Alice","Female","Italy","Athletics",2000-08-14,172,0,23
"SARTORI Rebecca","Female","Italy","Athletics",1997-05-22,173,0,27
"SIBILIO Alessandro","Male","Italy","Athletics",1999-04-27,187,0,25
"BRUNI Roberta","Female","Italy","Athletics",1994-03-08,170,0,30
"DALLAVALLE Andrea","Male","Italy","Athletics",1999-10-31,187,0,24
"DIAZ HERNANDEZ Andy","Male","Italy","Athletics",1995-12-25,192,0,28
"FURLANI Mattia","Male","Italy","Athletics",2005-02-07,183,0,19
"IAPICHINO Larissa","Female","Italy","Athletics",2002-07-18,172,0,22
"IHEMEJE Emmanuel","Male","Italy","Athletics",1998-10-09,188,0,25
"MOLINAROLO Elisa","Female","Italy","Athletics",1994-01-29,172,0,30
"SOTTILE Stefano","Male","Italy","Athletics",1998-01-26,184,0,26
"STECCHI Claudio Michel","Male","Italy","Athletics",1991-11-23,186,0,32
"TAMBERI Gianmarco","Male","Italy","Athletics",1992-06-01,192,0,32
"FABBRI Leonardo","Male","Italy","Athletics",1997-04-15,200,0,27
"FANTINI Sara","Female","Italy","Athletics",1997-09-16,167,0,26
"OSAKUE Daisy","Female","Italy","Athletics",1996-01-16,180,0,28
"WEIR Zane","Male","Italy","Athletics",1995-09-07,190,0,28
"GEREVINI Sveva","Female","Italy","Athletics",1996-05-31,171,0,28
"FORTUNATO Francesco","Male","Italy","Athletics",1994-12-13,178,0,29
"GIORGI Eleonora Anna","Female","Italy","Athletics",1989-09-14,165,0,34
"GASTAUD Marie-Charlotte","Female","Monaco","Athletics",1999-11-30,167,0,24
"SMIKLE Traves","Male","Jamaica","Athletics",1992-05-07,183,0,32
"WILLIAMS Stacey Ann","Female","Jamaica","Athletics",1999-03-08,173,0,25
"WILLIAMS Kimberly","Female","Jamaica","Athletics",1988-11-03,170,0,35
"WILLIAMS Danielle","Female","Jamaica","Athletics",1992-09-14,167,0,31
"WILLIAMS Ashley","Female","Jamaica","Athletics",1996-10-25,170,0,27
"THOMAS-DODD Danniel","Female","Jamaica","Athletics",1992-11-11,166,0,31
"SALMON Shiann","Female","Jamaica","Athletics",1999-03-31,170,0,25
"RUSSELL Janieve","Female","Jamaica","Athletics",1993-11-14,175,0,30
"DRUMMOND Gerald","Male","Costa Rica","Athletics",1994-09-05,175,0,29
