Season Type,game,Season,Game Date,Series,team,Home,Opp,game_in_series,,GS,MP,made2,attempt3,per2,made3,attempt3,per3,made1,attempt1,per1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,game score,Game Result,Point Diff
Regular,77,2006/07,4/17/2007,NA,CLE,Away,PHI,,W (+6),1,36:03:00,7,15,0.467,0,2,0,4,7,0.571,1,4,5,6,0,0,1,3,18,13,Win,6.00
Regular,78,2006/07,4/18/2007,NA,CLE,Home,MIL,,W (+13),1,39:58:00,9,18,0.5,1,4,0.25,5,10,0.5,0,5,5,9,2,0,2,2,26,20,Win,13.00
Regular,1,2013/14,10/29/2013,NA,MIA,Home,CHI,,W (+12),1,38:01:00,5,11,0.455,0,1,0,7,9,0.778,0,6,6,8,1,0,2,0,17,16.9,Win,12.00
Regular,2,2013/14,10/30/2013,NA,MIA,Away,PHI,,L (-4),1,36:38:00,9,17,0.529,4,7,0.571,3,4,0.75,0,4,4,13,0,0,4,3,33,21.4,Loss,-4.00
Regular,3,2013/14,11/1/2013,NA,MIA,Away,BRK,,L (-1),1,42:14:00,11,19,0.579,1,2,0.5,3,5,0.6,1,6,7,6,2,1,5,2,28,19.9,Loss,-1.00
Regular,4,2013/14,11/3/2013,NA,MIA,Home,WAS,,W (+10),1,34:41:00,9,14,0.643,3,5,0.6,4,5,0.8,0,3,3,5,1,0,6,2,31,17,Win,10.00
Regular,5,2013/14,11/5/2013,NA,MIA,Away,TOR,,W (+9),1,36:01:00,13,20,0.65,1,3,0.333,8,8,1,2,6,8,8,0,1,1,2,37,33.9,Win,9.00
Regular,6,2013/14,11/7/2013,NA,MIA,Home,LAC,,W (+5),1,37:09:00,6,13,0.462,1,3,0.333,5,9,0.556,0,5,5,6,1,0,4,4,20,10.8,Win,5.00
Regular,7,2013/14,11/9/2013,NA,MIA,Home,BOS,,L (-1),1,36:32:00,9,13,0.692,0,0,,7,9,0.778,1,7,8,10,0,0,5,1,25,23.1,Loss,-1.00
Regular,8,2013/14,11/12/2013,NA,MIA,Home,MIL,,W (+23),1,29:58:00,13,21,0.619,4,7,0.571,3,6,0.5,0,3,3,2,0,0,3,0,41,21.6,Win,23.00
Regular,9,2013/14,11/15/2013,NA,MIA,Home,DAL,,W (+6),1,36:58:00,14,18,0.778,1,1,1,10,11,0.909,0,6,6,4,1,0,6,0,41,31.2,Win,6.00
Regular,10,2013/14,11/16/2013,NA,MIA,Away,CHA,,W (+16),1,31:55:00,13,18,0.722,0,0,,4,4,1,1,3,4,7,1,1,3,1,30,27.4,Win,16.00
Regular,11,2013/14,11/19/2013,NA,MIA,Home,ATL,,W (+16),1,30:42:00,6,13,0.462,0,0,,1,3,0.333,2,4,6,5,1,0,3,0,13,9.6,Win,16.00
Regular,12,2013/14,11/20/2013,NA,MIA,Away,ORL,,W (+28),1,29:05:00,5,11,0.455,0,2,0,11,11,1,1,5,6,7,1,1,4,0,21,20.1,Win,28.00
Regular,13,2013/14,11/23/2013,NA,MIA,Home,ORL,,W (+2),1,37:35:00,7,13,0.538,3,6,0.5,5,7,0.714,0,9,9,7,3,0,3,0,28,22.5,Win,2.00
Regular,14,2013/14,11/25/2013,NA,MIA,Home,PHO,,W (+15),1,33:21:00,11,14,0.786,2,4,0.5,11,11,1,0,5,5,4,1,1,4,0,39,31.6,Win,15.00
Regular,15,2013/14,11/27/2013,NA,MIA,Away,CLE,,W (+11),1,37:06:00,9,19,0.474,1,3,0.333,9,11,0.818,0,8,8,8,3,0,1,3,30,26.3,Win,11.00
Regular,16,2013/14,11/29/2013,NA,MIA,Away,TOR,,W (+7),1,36:27:00,10,17,0.588,3,5,0.6,4,6,0.667,1,5,6,3,1,1,3,2,33,20.5,Win,7.00
Regular,17,2013/14,12/1/2013,NA,MIA,Home,CHA,,W (+1),1,38:16:00,8,13,0.615,1,3,0.333,9,10,0.9,0,5,5,4,1,1,3,0,28,22.7,Win,1.00
Regular,18,2013/14,12/3/2013,NA,MIA,Home,DET,,L (-10),1,36:58:00,8,15,0.533,2,5,0.4,5,8,0.625,3,2,5,6,2,1,6,2,27,17.3,Loss,-10.00
Regular,19,2013/14,12/5/2013,NA,MIA,Away,CHI,,L (-20),1,33:18:00,7,17,0.412,1,4,0.25,6,8,0.75,0,5,5,2,3,0,1,2,23,15.2,Loss,-20.00
Regular,20,2013/14,12/7/2013,NA,MIA,Away,MIN,,W (+21),1,30:34:00,9,12,0.75,0,0,,3,5,0.6,4,10,14,8,2,0,7,3,21,20.6,Win,21.00
Regular,21,2013/14,12/8/2013,NA,MIA,Away,DET,,W (+15),1,35:01:00,10,15,0.667,0,2,0,4,5,0.8,1,6,7,9,2,0,6,2,24,21.1,Win,15.00
Regular,22,2013/14,12/10/2013,NA,MIA,Away,IND,,L (-6),1,38:32:00,6,16,0.375,1,4,0.25,4,6,0.667,1,13,14,6,2,0,5,3,19,12,Loss,-6.00
Regular,23,2013/14,12/14/2013,NA,MIA,Home,CLE,,W (+7),1,40:37:00,9,12,0.75,0,2,0,7,10,0.7,2,7,9,9,4,0,2,2,25,30,Win,7.00
Regular,24,2013/14,12/16/2013,NA,MIA,Home,UTA,,W (+23),1,33:49:00,13,17,0.765,0,1,0,4,5,0.8,1,8,9,9,1,0,3,1,30,29.9,Win,23.00
Regular,25,2013/14,12/18/2013,NA,MIA,Home,IND,,W (+3),1,36:14:00,8,14,0.571,1,3,0.333,7,7,1,0,9,9,7,3,0,3,3,26,23.8,Win,3.00
Regular,26,2013/14,12/20/2013,NA,MIA,Home,SAC,,W (+19),1,30:40:00,8,11,0.727,1,2,0.5,1,2,0.5,2,4,6,8,1,1,1,1,20,21.6,Win,19.00
Regular,27,2013/14,12/23/2013,NA,MIA,Home,ATL,,W (+2),1,45:38:00,16,28,0.571,4,9,0.444,2,6,0.333,4,4,8,6,2,0,0,2,46,32.6,Win,2.00
Regular,28,2013/14,12/25/2013,NA,MIA,Away,LAL,,W (+6),1,35:48:00,7,14,0.5,0,4,0,5,9,0.556,0,8,8,4,0,0,2,2,19,12.8,Win,6.00
Regular,29,2013/14,12/27/2013,NA,MIA,Away,SAC,,L (-5),1,43:43:00,12,23,0.522,4,9,0.444,5,6,0.833,0,8,8,8,0,0,2,3,41,26.1,Loss,-5.00
Regular,30,2013/14,12/30/2013,NA,MIA,Away,DEN,,W (+3),1,39:44:00,8,15,0.533,5,9,0.556,5,8,0.625,1,5,6,10,0,1,4,0,36,23.4,Win,3.00
Regular,31,2013/14,1/2/2014,NA,MIA,Home,GSW,,L (-9),1,39:34:00,10,16,0.625,1,4,0.25,5,8,0.625,0,5,5,5,0,1,8,0,28,15.3,Loss,-9.00
Regular,32,2013/14,1/4/2014,NA,MIA,Away,ORL,,W (+16),1,35:55:00,5,13,0.385,0,1,0,5,8,0.625,1,7,8,8,1,0,3,1,15,12.7,Win,16.00
Regular,33,2013/14,1/5/2014,NA,MIA,Home,TOR,,W (+5),1,37:47:00,12,18,0.667,0,0,,6,7,0.857,1,3,4,5,1,0,1,1,30,26.5,Win,5.00
Regular,34,2013/14,1/7/2014,NA,MIA,Home,NOP,,W (+19),1,35:15:00,13,22,0.591,3,6,0.5,3,3,1,1,2,3,5,2,0,3,1,38,25.2,Win,19.00
Regular,35,2013/14,1/9/2014,NA,MIA,Away,NYK,,L (-10),1,41:25:00,12,17,0.706,1,4,0.25,7,11,0.636,0,5,5,6,1,1,6,2,34,23.9,Loss,-10.00
Regular,36,2013/14,1/10/2014,NA,MIA,Away,BRK,,L (-9),1,49:22:00,12,21,0.571,2,5,0.4,10,12,0.833,3,4,7,5,0,0,4,6,40,25.7,Loss,-9.00
Regular,37,2013/14,1/15/2014,NA,MIA,Away,WAS,,L (-17),1,41:04:00,8,18,0.444,0,4,0,9,10,0.9,2,6,8,7,2,0,4,1,25,20.9,Loss,-17.00
Regular,38,2013/14,1/17/2014,NA,MIA,Away,PHI,,W (+15),1,36:31:00,7,13,0.538,0,1,0,7,8,0.875,1,7,8,10,2,1,3,3,21,22.6,Win,15.00
Regular,39,2013/14,1/18/2014,NA,MIA,Away,CHA,,W (+8),1,44:52:00,13,25,0.52,0,3,0,8,10,0.8,2,6,8,6,1,0,2,4,34,25.7,Win,8.00
Regular,40,2013/14,1/20/2014,NA,MIA,Away,ATL,,L (-7),1,38:43:00,11,21,0.524,3,7,0.429,5,8,0.625,1,3,4,6,1,0,3,1,36,21.9,Loss,-7.00
Regular,41,2013/14,1/21/2014,NA,MIA,Home,BOS,,W (+7),1,38:48:00,10,19,0.526,0,4,0,9,11,0.818,1,7,8,4,2,0,3,1,29,23.1,Win,7.00
