drive_id,drive_start,drive_end
2016_13_DEN_JAX_11,Interception,Punt
2016_14_PIT_BUF_2,Interception,Punt
2020_02_NYG_CHI_7,Interception,Punt
2020_12_KC_TB_18,Interception,Punt
2017_06_LA_JAX_23,Interception,Punt
2017_05_SEA_LA_16,Interception,Punt
2021_12_CLE_BAL_13,Interception,Punt
2020_13_NYG_SEA_5,Interception,Punt
2018_07_CIN_KC_16,Interception,Punt
2017_15_CHI_DET_17,Interception,Punt
2018_01_PIT_CLE_10,Interception,Punt
2018_03_DAL_SEA_4,Interception,Punt
2017_09_KC_DAL_18,Interception,Punt
2017_13_DEN_MIA_11,Interception,Punt
2016_01_CAR_DEN_17,Interception,Touchdown
2018_02_MIA_NYJ_5,Interception,Touchdown
2017_10_MIN_WAS_10,Interception,Touchdown
2020_17_NO_CAR_15,Interception,Touchdown
2020_01_PHI_WAS_19,Interception,Touchdown
2020_12_ARI_NE_2,Interception,Touchdown
2018_05_WAS_NO_15,Interception,Touchdown
2018_14_NYG_WAS_13,Interception,Touchdown
2021_06_BUF_TEN_11,Interception,Touchdown
2017_17_WAS_NYG_3,Interception,Touchdown
2019_17_CLE_CIN_6,Interception,Touchdown
2017_10_MIA_CAR_10,Interception,Touchdown
2020_05_LAC_NO_11,Interception,Touchdown
2018_11_DEN_LAC_14,Interception,Touchdown
2020_09_DEN_ATL_19,Interception,Touchdown
2021_17_NYG_CHI_4,Interception,Touchdown
2018_11_TEN_IND_14,Interception,Touchdown
2021_11_PIT_LAC_17,Interception,Touchdown
2021_01_GB_NO_10,Interception,Touchdown
2020_03_WAS_CLE_11,Interception,Touchdown
2016_13_BUF_OAK_21,Interception,Touchdown
2018_08_CLE_PIT_10,Interception,Touchdown
2019_07_OAK_GB_16,Interception,Touchdown
2016_16_IND_OAK_10,Interception,Touchdown
2016_01_CHI_HOU_2,Interception,Touchdown
2021_01_CHI_LA_2,Interception,Touchdown
2017_05_JAX_PIT_21,Interception,Touchdown
2017_05_LAC_NYG_19,Interception,Touchdown
2017_03_TB_MIN_9,Interception,Touchdown
2018_04_MIA_NE_21,Interception,Touchdown
2018_11_PIT_JAX_18,Interception,Touchdown
2021_17_ATL_BUF_8,Interception,Touchdown
2021_09_HOU_MIA_3,Interception,Touchdown
2021_18_SF_LA_16,Interception,Touchdown
2018_10_ARI_KC_16,Interception,Touchdown
2017_14_DET_TB_9,Interception,Touchdown
2019_04_CLE_BAL_22,Interception,Touchdown
2017_03_BAL_JAX_17,Interception,Touchdown
2016_16_DET_DAL_13,Interception,Touchdown
2018_11_OAK_ARI_2,Interception,Touchdown
2017_03_NO_CAR_17,Interception,Touchdown
2019_05_CLE_SF_12,Interception,Touchdown
2017_14_CHI_CIN_15,Interception,Touchdown
2021_07_KC_TEN_7,Interception,Touchdown
2016_05_ATL_DEN_14,Interception,Touchdown
2020_16_CHI_JAX_15,Interception,Touchdown
2018_10_ATL_CLE_6,Interception,Touchdown
2018_11_DAL_ATL_13,Interception,Touchdown
2019_05_BUF_TEN_16,Interception,Touchdown
2020_01_TB_NO_7,Interception,Touchdown
2020_06_ATL_MIN_2,Interception,Touchdown
2021_13_IND_HOU_2,Interception,Touchdown
2021_15_CAR_BUF_11,Interception,Touchdown
2020_01_GB_MIN_9,Interception,Touchdown
2019_01_BAL_MIA_20,Interception,Touchdown
2020_17_GB_CHI_16,Interception,Touchdown
2020_15_PIT_CIN_12,Interception,Touchdown
2017_02_DET_NYG_7,Interception,Touchdown
2020_10_LAC_MIA_16,Interception,Touchdown
2021_06_HOU_IND_13,Interception,Touchdown
2021_04_CAR_DAL_16,Interception,Touchdown
2017_14_PHI_LA_2,Interception,Touchdown
2020_10_MIN_CHI_3,Interception,Touchdown
2018_04_TB_CHI_15,Interception,Touchdown
2021_10_ATL_DAL_17,Interception,Touchdown
2017_15_CHI_DET_13,Interception,Touchdown
2018_01_SEA_DEN_19,Interception,Touchdown
2020_01_CHI_DET_23,Interception,Touchdown
2016_16_IND_OAK_6,Interception,Touchdown
2019_12_MIA_CLE_9,Interception,Touchdown
2019_08_MIA_PIT_10,Interception,Touchdown
2017_01_ARI_DET_9,Interception,Touchdown
2016_11_HOU_OAK_14,Interception,Touchdown
2020_15_SEA_WAS_18,Interception,Touchdown
2019_12_CAR_NO_18,Interception,Touchdown
2017_06_NE_NYJ_14,Interception,Touchdown
2021_10_KC_LV_16,Interception,Touchdown
2021_10_BUF_NYJ_15,Interception,Touchdown
2019_02_PHI_ATL_9,Interception,Touchdown
2018_12_CLE_CIN_7,Interception,Touchdown
2017_16_ATL_NO_8,Interception,Touchdown
2021_04_HOU_BUF_22,Interception,Touchdown
2018_03_PIT_TB_4,Interception,Touchdown
2020_08_TB_NYG_18,Interception,Touchdown
2017_04_IND_SEA_10,Interception,Touchdown
2021_17_NYG_CHI_23,Interception,Turnover
2020_04_NE_KC_7,Interception,Turnover
2017_11_KC_NYG_3,Interception,Turnover
2021_08_NYG_KC_2,Interception,Turnover
2018_01_ATL_PHI_18,Interception,Turnover
2021_01_BAL_LV_26,Interception,Turnover
2021_05_LA_SEA_6,Interception,Turnover
2021_05_NYJ_ATL_7,Interception,Turnover
2016_03_CLE_MIA_2,Interception,Turnover
2019_15_MIN_LAC_9,Interception,Turnover
2018_17_CLE_BAL_10,Interception,Turnover
2021_06_CIN_DET_5,Interception,Turnover
2021_01_MIA_NE_16,Interception,Turnover
2021_18_PIT_BAL_5,Interception,Turnover
2018_13_CHI_NYG_8,Interception,Turnover
2017_01_PIT_CLE_17,Interception,Turnover
2020_16_TEN_GB_15,Interception,Turnover
2018_05_IND_NE_17,Interception,Turnover
2019_03_LA_CLE_21,Interception,Turnover
2016_11_HOU_OAK_5,Kickoff,Field Goal
2016_03_DET_GB_8,Kickoff,Field Goal
2018_08_PHI_JAX_17,Kickoff,Field Goal
2021_03_BAL_DET_16,Kickoff,Field Goal
2018_04_DET_DAL_15,Kickoff,Field Goal
2020_04_BUF_LV_4,Kickoff,Field Goal
2017_15_TEN_SF_16,Kickoff,Field Goal
2020_11_ATL_NO_5,Kickoff,Field Goal
2016_09_NYJ_MIA_1,Kickoff,Field Goal
2016_17_HOU_TEN_16,Kickoff,Field Goal
2018_04_HOU_IND_26,Kickoff,Field Goal
2017_16_IND_BAL_3,Kickoff,Field Goal
2019_02_DAL_WAS_14,Kickoff,Field Goal
2019_13_LAC_DEN_6,Kickoff,Field Goal
2019_09_CLE_DEN_8,Kickoff,Field Goal
2016_05_SD_OAK_8,Kickoff,Field Goal
2016_16_CIN_HOU_14,Kickoff,Field Goal
2021_13_JAX_LA_7,Kickoff,Field Goal
2019_06_DAL_NYJ_18,Kickoff,Field Goal
2020_06_WAS_NYG_6,Kickoff,Field Goal
2020_02_JAX_TEN_8,Kickoff,Field Goal
2017_13_LA_ARI_12,Kickoff,Field Goal
2018_06_JAX_DAL_14,Kickoff,Field Goal
2019_04_KC_DET_10,Kickoff,Field Goal
2020_16_NYG_BAL_7,Kickoff,Field Goal
2016_16_DET_DAL_16,Kickoff,Field Goal
2019_16_CAR_IND_11,Kickoff,Field Goal
2017_14_DAL_NYG_2,Kickoff,Field Goal
2019_02_PHI_ATL_7,Kickoff,Field Goal
2018_13_WAS_PHI_10,Kickoff,Field Goal
2021_17_DEN_LAC_14,Kickoff,Field Goal
2020_08_LV_CLE_1,Kickoff,Field Goal
2019_15_JAX_OAK_3,Kickoff,Field Goal
2016_04_CLE_WAS_9,Kickoff,Field Goal
2017_03_NO_CAR_3,Kickoff,Field Goal
2016_07_SD_ATL_20,Kickoff,Field Goal
2021_18_LAC_LV_24,Kickoff,Field Goal
2018_03_SF_KC_16,Kickoff,Field Goal
2016_04_KC_PIT_13,Kickoff,Field Goal
2020_11_MIA_DEN_12,Kickoff,Field Goal
2019_16_DET_DEN_1,Kickoff,Field Goal
2019_04_SEA_ARI_6,Kickoff,Field Goal
2021_17_LA_BAL_10,Kickoff,Field Goal
2017_17_NO_TB_17,Kickoff,Field Goal
2020_13_DAL_BAL_6,Kickoff,Field Goal
2018_06_CAR_WAS_17,Kickoff,Field Goal
2021_03_TB_LA_9,Kickoff,Field Goal
2016_06_SF_BUF_8,Kickoff,Field Goal
2020_12_NYG_CIN_9,Kickoff,Field Goal
2017_17_BUF_MIA_16,Kickoff,Field Goal
2017_10_GB_CHI_3,Kickoff,Field Goal
2020_01_ARI_SF_14,Kickoff,Field Goal
