track,artist,genre,release_date,year,word_count,unique_words
Out of My League,Fitz and The Tantrums,rock,2013-05-07,2013,340,86
Everybody Get Up - Radio Edit,Five,dance_pop,2001-01-16,2001,550,291
Afterlife,Flatbush Zombies,hip_hop,2020-08-06,2020,548,250
In The Party,Flo Milli,dance_pop,2020-07-24,2020,655,277
Whistle,Flo Rida,dance_pop,2012-06-22,2012,534,186
Say Yes,Floetry,hip_hop,2002-01-01,2002,396,124
Cruise,Florida Georgia Line,country,2012-01-01,2012,433,164
My Number,Foals,rock,2013-01-31,2013,300,96
Best of You,Foo Fighters,rock,2005-06-14,2005,346,119
Pumped Up Kicks,Foster The People,rock,2011-05-23,2011,398,118
We All Float Down Here,Four Year Strong,rock,2015-06-05,2015,256,122
Sky Love,Foxes,dance_pop,2022-02-11,2022,295,107
Oh Yeah,Foxy Brown,hip_hop,2001-01-01,2001,515,279
Cupid's Arrow,Frank Carter & The Rattlesnakes,rock,2021-10-15,2021,307,103
Lost,Frank Ocean,hip_hop,2012-01-01,2012,324,166
Young & Crazy,Frankie Ballard,country,2014-04-03,2014,298,129
